ID: 9500, Name: chrome, Memory: 226 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 11836, Name: chrome, Memory: 9 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 3100, Name: chrome, Memory: 174 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 12096, Name: chrome, Memory: 63 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 6988, Name: chrome, Memory: 29 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 10248, Name: chrome, Memory: 285 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 3752, Name: chrome, Memory: 192 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 8792, Name: chrome, Memory: 43 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 9888, Name: chrome, Memory: 49 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 2208, Name: chrome, Memory: 112 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 10344, Name: chrome, Memory: 20 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 2324, Name: chrome, Memory: 47 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 9204, Name: chrome, Memory: 127 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 8528, Name: chrome, Memory: 156 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 9540, Name: chrome, Memory: 47 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 6400, Name: chrome, Memory: 75 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 5880, Name: chrome, Memory: 50 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 6896, Name: chrome, Memory: 50 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 12308, Name: chrome, Memory: 198 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 12724, Name: chrome, Memory: 164 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
ID: 12992, Name: chrome, Memory: 29 MB, StartTime: 9/10/2025 9:16:29 AM, Responding: True
