ID: 6528, Name: AggregatorHost, Memory: 7 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 14896, Name: ApplicationFrameHost, Memory: 27 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 12004, Name: audiodg, Memory: 18 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 5308, Name: chrome, Memory: 222 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 3308, Name: chrome, Memory: 9 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 7644, Name: chrome, Memory: 191 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 2336, Name: chrome, Memory: 56 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 7096, Name: chrome, Memory: 21 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 5952, Name: chrome, Memory: 130 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 13980, Name: chrome, Memory: 50 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 10432, Name: chrome, Memory: 23 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 13648, Name: chrome, Memory: 75 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 8992, Name: chrome, Memory: 40 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 8780, Name: chrome, Memory: 40 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 1416, Name: chrome, Memory: 200 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 5972, Name: chrome, Memory: 253 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 7456, Name: chrome, Memory: 44 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 7444, Name: chrome, Memory: 92 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 6800, Name: chrome, Memory: 29 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 12564, Name: CompPkgSrv, Memory: 8 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 2488, Name: conhost, Memory: 5 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 6088, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 7836, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 14128, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 4704, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 8476, Name: conhost, Memory: 13 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 12152, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 13668, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 15132, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 14364, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 616, Name: csrss, Memory: 5 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 2436, Name: csrss, Memory: 6 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 1620, Name: ctfmon, Memory: 20 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 3364, Name: CxAudioSvc, Memory: 19 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 3384, Name: CxUtilSvc, Memory: 7 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 5600, Name: dllhost, Memory: 10 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 11136, Name: dotnet, Memory: 126 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 8748, Name: dotnet, Memory: 237 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 4380, Name: dotnet, Memory: 160 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 10096, Name: dotnet, Memory: 133 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 13800, Name: dotnet, Memory: 88 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 1688, Name: dwm, Memory: 76 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 4620, Name: epmd, Memory: 3 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 4020, Name: erl, Memory: 67 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 3696, Name: erlsrv, Memory: 3 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 8200, Name: explorer, Memory: 172 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 2944, Name: FileCoAuth, Memory: 26 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 1296, Name: Flow, Memory: 92 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 1020, Name: fontdrvhost, Memory: 3 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 3288, Name: fontdrvhost, Memory: 8 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 12812, Name: fsnotifier, Memory: 2 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 0, Name: Idle, Memory: 0 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 2120, Name: igfxCUIService, Memory: 8 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 13488, Name: igfxEM, Memory: 14 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 3412, Name: inet_gethost, Memory: 4 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 1304, Name: IntelCpHDCPSvc, Memory: 6 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 1524, Name: IntelCpHeciSvc, Memory: 6 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 6116, Name: JetBrains.Dpa.Collector, Memory: 5 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 6292, Name: JetBrains.DPA.Runner, Memory: 36 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 3524, Name: JetBrains.Etw.Collector.Host, Memory: 8 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 3548, Name: jhi_service, Memory: 5 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 14116, Name: jucheck, Memory: 16 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 3372, Name: jusched, Memory: 17 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 868, Name: LsaIso, Memory: 3 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 876, Name: lsass, Memory: 22 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 1780, Name: Memory Compression, Memory: 84 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 10928, Name: MicTray64, Memory: 4 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 6676, Name: MoUsoCoreWorker, Memory: 37 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 3728, Name: MpDefenderCoreService, Memory: 17 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 5096, Name: msedge, Memory: 133 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
ID: 11036, Name: msedge, Memory: 7 MB, StartTime: 9/9/2025 7:53:56 AM, Responding: True
