ID: 2488, Name: conhost, Memory: 5 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 2656, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 5420, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 1128, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 13832, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 6076, Name: conhost, Memory: 13 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 10296, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 14612, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 11476, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 4752, Name: conhost, Memory: 11 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 616, Name: csrss, Memory: 5 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 2436, Name: csrss, Memory: 6 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 1620, Name: ctfmon, Memory: 19 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 3364, Name: CxAudioSvc, Memory: 20 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 3384, Name: CxUtilSvc, Memory: 7 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 5600, Name: dllhost, Memory: 10 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 6740, Name: dotnet, Memory: 117 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 14964, Name: dotnet, Memory: 208 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7552, Name: dotnet, Memory: 161 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 2188, Name: dotnet, Memory: 135 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 9736, Name: dotnet, Memory: 138 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 1688, Name: dwm, Memory: 88 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 4620, Name: epmd, Memory: 3 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 4020, Name: erl, Memory: 65 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
