ID: 6200, Name: AggregatorHost, Memory: 6 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 1132, Name: ApplicationFrameHost, Memory: 26 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 9500, Name: chrome, Memory: 234 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 11836, Name: chrome, Memory: 9 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 3100, Name: chrome, Memory: 279 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 12096, Name: chrome, Memory: 64 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 6988, Name: chrome, Memory: 29 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 10248, Name: chrome, Memory: 424 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 8792, Name: chrome, Memory: 44 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 9888, Name: chrome, Memory: 50 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 2208, Name: chrome, Memory: 112 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 10344, Name: chrome, Memory: 23 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 2324, Name: chrome, Memory: 73 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 8528, Name: chrome, Memory: 167 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 9540, Name: chrome, Memory: 48 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 6400, Name: chrome, Memory: 75 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 6896, Name: chrome, Memory: 51 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 12308, Name: chrome, Memory: 201 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 968, Name: chrome, Memory: 31 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 13172, Name: CompPkgSrv, Memory: 8 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 4080, Name: conhost, Memory: 5 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 9952, Name: conhost, Memory: 5 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 8828, Name: conhost, Memory: 5 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 9548, Name: conhost, Memory: 5 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 8420, Name: conhost, Memory: 5 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 10508, Name: conhost, Memory: 7 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 2028, Name: conhost, Memory: 5 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 13168, Name: conhost, Memory: 10 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 9784, Name: conhost, Memory: 10 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 12452, Name: conhost, Memory: 10 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 588, Name: csrss, Memory: 4 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 684, Name: csrss, Memory: 5 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 7060, Name: ctfmon, Memory: 19 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 3224, Name: CxAudioSvc, Memory: 19 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 3248, Name: CxUtilSvc, Memory: 7 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 6012, Name: dllhost, Memory: 10 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 11472, Name: dotnet, Memory: 69 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 8700, Name: dotnet, Memory: 244 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 7828, Name: dotnet, Memory: 157 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 1500, Name: dotnet, Memory: 123 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 2944, Name: dotnet, Memory: 84 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 1100, Name: dwm, Memory: 78 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 4424, Name: epmd, Memory: 2 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 4008, Name: erl, Memory: 67 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 3508, Name: erlsrv, Memory: 3 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 4588, Name: explorer, Memory: 150 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 7220, Name: FileCoAuth, Memory: 24 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 8100, Name: Flow, Memory: 84 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 988, Name: fontdrvhost, Memory: 3 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 996, Name: fontdrvhost, Memory: 5 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 7912, Name: fsnotifier, Memory: 2 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 0, Name: Idle, Memory: 0 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 1968, Name: igfxCUIService, Memory: 8 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 6616, Name: igfxEM, Memory: 12 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 6444, Name: inet_gethost, Memory: 4 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 1248, Name: IntelCpHDCPSvc, Memory: 6 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 1540, Name: IntelCpHeciSvc, Memory: 6 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 9892, Name: JetBrains.Dpa.Collector, Memory: 6 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 6324, Name: JetBrains.DPA.Runner, Memory: 36 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 3388, Name: JetBrains.Etw.Collector.Host, Memory: 7 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 3468, Name: jhi_service, Memory: 5 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 10352, Name: jucheck, Memory: 15 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 9760, Name: jusched, Memory: 16 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 840, Name: LsaIso, Memory: 3 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 848, Name: lsass, Memory: 20 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 1880, Name: Memory Compression, Memory: 188 MB, StartTime: 9/10/2025 9:28:00 AM, Responding: True
ID: 6840, Name: MicTray64, Memory: 2 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 3520, Name: MpDefenderCoreService, Memory: 17 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 11864, Name: msedge, Memory: 95 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 11896, Name: msedge, Memory: 7 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 12080, Name: msedge, Memory: 33 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 12088, Name: msedge, Memory: 29 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 12152, Name: msedge, Memory: 16 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 3628, Name: MsMpEng, Memory: 300 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 6076, Name: NisSrv, Memory: 9 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
ID: 3284, Name: OneApp.IGCC.WinService, Memory: 38 MB, StartTime: 9/10/2025 9:28:01 AM, Responding: True
