ID: 6528, Name: AggregatorHost, Memory: 7 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 9192, Name: ApplicationFrameHost, Memory: 24 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 12928, Name: audiodg, Memory: 16 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 712, Name: chrome, Memory: 220 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 13660, Name: chrome, Memory: 8 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 7200, Name: chrome, Memory: 112 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 12880, Name: chrome, Memory: 66 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 8708, Name: chrome, Memory: 19 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 3024, Name: chrome, Memory: 485 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 10592, Name: chrome, Memory: 48 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 15260, Name: chrome, Memory: 44 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 13284, Name: chrome, Memory: 22 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 6924, Name: chrome, Memory: 54 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 10624, Name: chrome, Memory: 36 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 8900, Name: chrome, Memory: 45 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 14064, Name: chrome, Memory: 42 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 12268, Name: chrome, Memory: 39 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 5768, Name: chrome, Memory: 35 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 7416, Name: chrome, Memory: 38 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 11868, Name: chrome, Memory: 36 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 11408, Name: chrome, Memory: 38 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 15096, Name: chrome, Memory: 37 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 11484, Name: chrome, Memory: 43 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
ID: 10412, Name: chrome, Memory: 36 MB, StartTime: 9/10/2025 2:13:17 AM, Responding: True
